,Profile factor,Symmetry,Crossflow,Flow_velocity_1,Flow_velocity_2,Flow_velocity_3,Flow_velocity_4,Sound_speed_1,Sound_speed_2,Sound_speed_3,Sound_speed_4,Signal_strength_1,Signal_strength_2,Signal_strength_3,Signal_strength_4,Signal_strength_5,Signal_strength_6,Signal_strength_7,Signal_strength_8,Signal_quality_1,Signal_quality_2,Signal_quality_3,Signal_quality_4,Signal_quality_5,Signal_quality_6,Signal_quality_7,Signal_quality_8,Gain_1,Gain_2,Gain_3,Gain_4,Gain_5,Gain_6,Gain_7,Gain_8,Transit_time_1,Transit_time_2,Transit_time_3,Transit_time_4,Transit_time_5,Transit_time_6,Transit_time_7,Transit_time_8,fault_class
0,1.10470553418171,1.0046792197542,0.9947829013800071,2.34583333333333,2.60444444444444,2.58,2.34722222222222,1485.80555555556,1485.93055555556,1485.94166666667,1485.7805555555599,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3543.9722222222204,3457.94444444444,3367.5833333333303,3401.80555555556,3711.2222222222204,3707.1388888888896,3643.55555555556,3590.7777777777796,0.5,0.5,0.2,0.2,1.4,1.4,-0.7,-0.7,124.15,123.911944444444,151.615833333333,151.275,151.559444444444,151.221111111111,124.253611111111,124.017777777778,1
1,1.08940073379535,0.9977782108750741,0.998011850927802,3.39944444444444,3.71111111111111,3.71194444444444,3.41444444444444,1486.1638888888901,1486.3027777777802,1486.3027777777802,1486.13055555555,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3546.80555555556,3412.5833333333303,3256.6666666666697,3322.27777777778,3716.05555555556,3670.7777777777796,3622.2222222222204,3580.30555555556,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.17194444444401,123.831666666667,151.652222222222,151.164444444444,151.595277777778,151.113333333333,124.274166666667,123.937777777778,1
2,1.0796711085908701,1.00605587028717,0.999026669262216,3.43805555555556,3.7147222222222203,3.6897222222222203,3.42,1486.3222222222198,1486.45277777778,1486.45555555556,1486.29722222222,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3557.2777777777796,3413.3333333333303,3267.0,3330.72222222222,3693.6666666666706,3677.5833333333294,3620.0277777777796,3574.0833333333294,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.16,123.81805555555599,151.636111111111,151.150833333333,151.58,151.096944444444,124.260833333333,123.92361111111099,1
3,1.09083449577419,1.0131942798451499,0.994911140687386,3.39944444444444,3.725,3.66055555555555,3.37111111111111,1486.45555555556,1486.575,1486.58333333333,1486.41666666667,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3541.1111111111104,3433.6666666666697,3262.0,3329.6111111111104,3702.05555555556,3677.19444444444,3635.0277777777796,3579.69444444444,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.144722222222,123.80861111111099,151.6225,151.139166666667,151.564166666667,151.08416666666702,124.25083333333299,123.91305555555599,1
4,1.09381557832367,1.00971563981043,1.0036224750954799,3.39888888888889,3.7027777777777797,3.68138888888889,3.35194444444444,1486.6,1486.725,1486.73055555556,1486.55555555555,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3541.3333333333294,3416.8888888888896,3273.47222222222,3320.8333333333303,3690.1388888888896,3690.5,3615.8333333333294,3564.9722222222204,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.13444444444401,123.7975,151.6075,151.122777777778,151.550277777778,151.068888888889,124.23611111111099,123.903055555556,1
5,1.0837815810921,1.0022710364540501,0.989495389643232,3.39361111111111,3.71666666666667,3.67111111111111,3.4230555555555497,1486.76388888889,1486.875,1486.8916666666698,1486.7111111111099,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3558.3611111111104,3435.72222222222,3253.4166666666697,3341.8888888888896,3709.55555555556,3672.6111111111104,3628.25,3576.25,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.120277777778,123.784722222222,151.593055555556,151.106944444444,151.533055555556,151.05388888888902,124.223333333333,123.89055555555599,1
6,1.1027783494546202,1.00192013793644,1.0151867776419101,3.40444444444444,3.69777777777778,3.74444444444444,3.34416666666667,1486.9083333333301,1487.02777777778,1487.0222222222199,1486.86666666667,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3549.19444444444,3429.1111111111104,3267.6388888888896,3327.6111111111104,3692.8333333333294,3687.3611111111104,3625.55555555556,3589.0,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.10916666666701,123.771388888889,151.57527777777798,151.093055555556,151.522222222222,151.035833333333,124.2125,123.87611111111099,1
7,1.08853624987419,1.0022192203782299,0.994137997309244,4.13194444444444,4.52388888888889,4.48888888888889,4.14777777777778,1487.81111111111,1487.94444444444,1487.93333333333,1487.76944444445,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3543.2222222222204,3404.94444444444,3252.47222222222,3324.75,3690.05555555556,3663.6666666666706,3619.55555555556,3552.69444444444,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.068333333333,123.65833333333299,151.535,150.947777777778,151.48027777777799,150.89638888888902,124.174166666667,123.763055555556,1
8,1.07575475462163,1.00586042925074,1.0023092317955602,5.24361111111111,5.62666666666667,5.6075,5.19944444444445,1488.24166666667,1488.3722222222198,1488.36944444445,1488.20555555556,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3533.6666666666706,3343.1666666666697,3222.0,3312.0833333333303,3659.94444444444,3644.3888888888896,3592.8611111111104,3524.4722222222204,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.08305555555599,123.570833333333,151.566666666667,150.831111111111,151.509444444445,150.777777777778,124.19,123.67555555555599,1
9,1.08737559941203,1.00189503362529,1.0010164010164,5.7725,6.27,6.26472222222222,5.755,1486.94444444444,1487.04444444444,1487.03611111111,1486.8972222222199,66.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,3519.69444444444,3315.6666666666697,3197.30555555556,3309.3333333333303,3662.7222222222204,3617.2222222222204,3556.3888888888896,3487.94444444444,0.5,0.5,0.0,0.0,1.4,1.4,-0.7,-0.7,124.222222222222,123.6525,151.74194444444402,150.923055555556,151.685277777778,150.872777777778,124.32694444444401,123.754444444445,1
